search,headers,instruction,method_type
arxiv.API,install environment (linux),"```
conda env create --file environment.yml
conda activate cradle_vae_env
```
- if you encounter a conflict, run this command: `conda config --set channel_priority disabled`

```
pip install 'rapids-singlecell[rapids11]' --extra-index-url=https://pypi.nvidia.com #cuda11.x
pip install 'rapids-singlecell[rapids12]' --extra-index-url=https://pypi.nvidia.com #cuda12
```
- install `rapids-singlecell` according to your cuda version",source
ox.aca.bio,installation,"
follow the `pytroch` and `pyg` installation instructions to install the dependencies_

[pytroch installation instructions](https://pytorch.org/get-started/locally/)

[pyg installation instructions](https://pytorch-geometric.readthedocs.io/en/latest/install/installation.html)

for other dependencies and their versions please refer to the [requirements.txt](./requirements.txt) file.

``` bash
pip install -r requirements.txt
```",source
arxiv.API,setup,-   `pip install -r requirement.txt`,source
arxiv.API,installations,"here, we provide guidelines for setting up the library. 
```bash
# set up the environment
conda create -n cmob python=3.9
conda activate 

# installation
pip install -r requirements.txt
```",source
bio.tools.updated.latest,usage,"## **usage**
1. execution via cross-platform executable gui
    - download [ad_assessment_gui.zip](https://huggingface.co/jenhung/ecti_assessment_gui)
    - run `ad_assessment_gui.exe`
    - analysis results will be saved within the selected path in a folder titled `cno_detection`

2.",source
bio.tools.updated.latest,usage,"execution via python script
    - install packages in terminal:
        ```    
        pip install -r requirements.txt
        ```
    - run `ad_assessment_gui.py`
    - analysis results will be saved within the selected path in a folder titled `cno_detection`",source
bio.tools.updated.latest,installation,"```
conda create -n scgraph2vec python=3.7
source activate scgraph2vec
git clone https://github.com/lph-big/scgraph2vec
```",source
acm.msr,installation," 1. download all the files into the same folder.
 2. install the specified version of python and tensorflow.
 3. run encoding.py and install all missing packages according to the runtime messages. ",source
acm.msr,how to run,"each of the case studies (1) defect prediction casse study (2) project health estimation case study
assuming there are n projects we want to use as trining data, run the following commands sequentially -
### defect prediction:
1. python src/birch_bellwether.py n 
2. python src/calculate_comparisons.py n 
3. python src/birch_bellwether_v2.py
4. python src/find_bellwethers.py
5. python src/final_performance.py
6. python src/tca.py
7. python src/tptl.py
8. python src/tca_test.py
9.",source
acm.msr,how to run,"python src/stats.py

### project health estimation:
1. python src/birch_bellwether_time.py n
2. python src/calculate_comparisons.py n
3. python src/attribute_selector.py
4. python src/birch_bellwether_p_cfs.py
5. python src/find_bellwethers.py
6. python src/performance_calculator.py
7. python src/stats_files.py

## generating results",source
acm.msr,setup gitbug-java,"requirements:
- python (recommended 3.11)
- poetry (recommended 1.8 and higher)
- docker (v20 or higher)
- if you are on ubuntu/debian, choose a system with glibc 2.32 or 2.34 as some of the dependencies require these versions (a docker image would not be suitable as it would require dind). for example you can create a virtual machine of ubuntu 21.10 (glibc 2.32). here is a quick setup of an ubuntu vm:
  - install multipass (allows to quickly create ubuntu vms and works on linux/mac/windows).",source
acm.msr,setup gitbug-java,"follow instructions here: https://multipass.run/docs/install-multipass.
  - create an ubuntu image (e.g, 280g in disk space, 16g in memory and 2 cpus): 
    ```bash
    multipass launch 21.10 --disk 280g --memory 16g --cpus 2
    ```
  - login the newly created vm
    ```bash
    multipass shell vm-name-printed-last-step
    ```
  - install docker within the image and add the user to the docker group

once th",source
acm.msr,setup gitbug-java,"-last-step
    ```
  - install docker within the image and add the user to the docker group

once the above requirements are satisfied within your system or the vm machine is created, clone this repository and execute the following steps:

1. setup python environment
    ```bash
    poetry shell
    poetry install --no-root
    ```

    **note:** poetry shell will attempt to create a new virtual environment. however, if you are already inside a virtual environment, poetry will use the that environment.",source
acm.msr,setup gitbug-java,"in such case, the subsequent commands would only work with a python3.11 environment. 2. add gitbug-java and custom act version to path
    ```bash
    export path=""$(pwd):$(pwd)/bin:$path""
    ```
    **note :** the above command needs to be executed on every new shell instance
    
3. run setup (installs docker image ~50gib, downloads required dependencies ~80gib). the downloadable data size is around 130gb.",source
acm.msr,setup gitbug-java,"however, after unzipping files, the space taken goes up to 240gb (it goes down after deleting the zipped files). ```bash
    gitbug-java setup
    ```

**note: ensure that all `gitbug-java` commands are executed without using `sudo` to guarantee correct functionality. **",source
acm.msr,how to install,"to run the scripts in this project, you must install python 3.11 and sqlalchemy v2.0 or greater.

these package can be installed using the `anaconda` environment manager
1. install the latest version of anaconda from [here](https://www.anaconda.com/download)
1. run `conda env create -f environment.yml` to create the anaconda environment `peatmoss`
1. activate the environment using `conda activate peatmoss`

alternatively, you can navigate to each packages respective pages and install them.",source
acm.icse,tpv installation instructions,"this repository contains a modified distribution of use that includes our tpv plug-in. to install the tool, download the repository files as a zip folder and extract them in the desired install directory.

**note: you must install the java runtime environment in order to run use**.",source
acm.icse,githubinclusifier source code back end,"the back end is implemented with django, and can be started by activating the virtual environment with `.\venv\scipts\activate`, followed by `python ./backend/manage.py runserver`.",source
acm.ase,,"our elecdaug tool has been deployed in the server, where 30data.json is an elecdaug input data. and users should preferably use a computer equipped with a windows operating system to access it. if you want to reuse elecdaug, you need to modify the path to the file in elecdaug_frontend/src/components/page and the front-end port, etc. in addition, you need to modify the path information and port number of elecdaug_frontend/flask.py. to run elecdaug the following requirements need to be met.",source
acm.ase,,"operating environment.
- hardware environment: 
	cpu: dual-core amd64 processor or equivalent x86-compatible processor
	memory: 8gb and above
	available disk space: 200gb and above
- software environment. operating system: windows 7 and above
		database: mysql 8.0 and above, redis 5.0 and above
		application software: python 3.7
browser engine: we recommend using the latest version of chorme v8 browser engine",source
acm.icse,how to run:,"- required python version >= 3.8.10
'- create virtual environment and activate venv in project
```shell script
$ python -m venv env
$ source venv/bin/activate
```",source
acm.icse,set up,"lone dopamin repo:
```
git clone https://github.com/fsoft-ai4code/dopamin.git
cd dopamin
```

python >= 3.8

install requirements: ```pip install -r requirements.txt```

**note:** we employ 2 nvidia a100 gpus for training the model, configuring a batch size of 32 per gpu, thus the total batchsize is 64. however, replication may not be feasible when utilizing a single gpu with a batch size of 64.",source
acm.icse,__ installation,"```
$ pip install -r requirements.txt
```",source
acm.icse,how to run,"- if you do not have the requirements installed in python: run ""pip install -r requirements.txt"" to install all the requirements
'- within the app, first identify the folder where the app code and the tests are localized, i.e., ""android/src/main/java/"" and android/src/test/java/"", where the jacoco store its coverage reports, i.e., ""android/build/reports/jacoco/jacocounittestreport/html/"" and the targetsdkversion of the app which is 26 for this app.",source
acm.icse,how to run,"'- to run: ""python apicia.py <--app path--> <--source code path--> <--test path--> <--jacoco report path--> <--current targetsdkversion--> <--new targetsdkversion-->"", i.e., ""python apicia.py example/fast/ android/src/main/java android/src/test/java android/build/reports/jacoco/jacocounittestreport/html/ 26 32""
'- the output will be shown in the console as well as saved in the ""apicia_output.txt"" file.",source
acm.icse,installation,"1. clone the repository
    ```shell
    ~$ git clone https://github.com/bugswarm/actions-remaker
    ~$ cd actions-remaker
    ```

2. create and activate a python virtual environment
    ```shell
    ~/actions-remaker$ virtualenv -p python3.8 venv
    ~/actions-remaker$ . venv/bin/activate
    ```

3. add personal access token to credentials
   - open `bugswarm/common/credentials.py`
   - replace `github_tokens = []` with `github_tokens = ['my_personal_token']`


4.",source
acm.icse,installation,"install dependencies
    ```shell
    (venv) ~/actions-remaker$ pip install -e . ```",source
pwc.greatest,usage basic usage,"- method 1: clone this repository and build locally, see [how to build](./docs/build.md)",source
acm.icse,installation,"1. clone the repository to your local machine:

    ```bash
    git clone https://github.com/stilab-ets/terametrics.git
    ```

2. navigate to the project directory:

    ```bash
    cd terametrics
    ```

3. build the project using maven:

    ```bash
    mvn clean install
    ```


<p align=""right"">(<a href=""#readme-top"">back to top</a>)</p>


<!-- usage examples -->

## usage 

**terrametrics** is available as jar file that could be standalone executable file.",source
acm.icse,installation,"the use can find the jar file named as [terraform_metrics-1.0.jar](src/main/resources/terraform_metrics-1.0.jar). to run the tool you need execute [terraform_metrics-1.0.jar](src/main/resources/terraform_metrics-1.0.jar) with the right parameters. in the following we detail the possible parameters:

1. to view the documentation:

    - ```-h```: boolean parameter to print the user guide. ```bash
    java -jar /path/to/terraform_metrics-1.0.jar -h
    ```

2.",source
acm.icse,installation,"to measure the hcl metrics for a given terraform file, 3 parameters are required:
  
   -  ```--file```: path to the terraform file.
   -  ```-b```: boolean parameter to indicate the file-level execution.
   -  ```--target```: path to the result file. ```bash
        java -jar </path/to/terraform_metrics-1.0.jar> --file </path/to/file.tf> -b --target </path/to/target.json>
   ```

3.",source
acm.icse,installation,"to measure the hcl metrics for a given *local folder* or *github repository* that contain terraform file, 4 parameters are required:

   -  ```-l```: boolean parameter to indicate the local-level execution.
   -  ```--repo```: to indicate the path to the local folder.
   - ```--target```: to indicate the path to the output file.
   - ```--project```: to indicate the project name.
   - ```-g```: boolean parameter to indicate to get the repository from github.",source
acm.icse,installation,"for *local folder*: 

   ```bash
      java -jar /path/to/terraform_metrics-1.0.jar -l --repo </path/to/localrepo> --target </path/to/target.json> --project <projectname>
   ```

   for *github repository*:

   ```bash
      java -jar /path/to/terraform_metrics-1.0.jar -g --repo </path/to/localrepo> --target </path/to/target.json> --project <githubrepositoryfullname>
   ```

a demonstration video is available at:",source
acm.icse,installation,[![image alt text here](https://img.youtube.com/vi/dgeydlu1fac/0.jpg)](https://www.youtube.com/watch?v=dgeydlu1fac),source
acm.icse,environment configuration,"to reproduce our experiments, machines with gpus and nvidia cuda toolkit are required.

the environment dependencies are listed in the file ""requirements.txt"". you can create conda environment to install required dependencies:",source
pwc.greatest,requirements,"a suitable [conda](https://conda.io/) environment named `ldm` can be created
and activated with:

```
conda env create -f environment.yaml
conda activate ldm
```

you can also update an existing [latent diffusion](https://github.com/compvis/latent-diffusion) environment by running

```
conda install pytorch torchvision -c pytorch
pip install transformers==4.19.2 diffusers invisible-watermark
pip install -e .
``` ",source
bio.tools.updated.latest,usage,2. execution via python script,source
acm.icse,install,"some packages in this repository are old, `node 14` must be used to start the project. [nvm](https://github.com/nvm-sh/nvm) is recommended to manage multiple versions of `node` in your machine.

```bash
git config --global url.""https://github.com/"".insteadof git://github.com/ # one package uses a no longer supported url, this is a fix
git clone https://github.com/x-lab2017/open-galaxy.git
cd open-galaxy
yarn install
yarn start # this will start local development sever with auto-rebuild.
```",source
bio.tools.updated.latest,[installation](https://v6.docs.sirius-ms.io/install),"for  windows and macos, the installer version of sirius (msi/pkg) should be preferred but might require administrator permissions. since we do not pay microsoft/apple for certification, you might have to confirm that you want to trust ""software from
an unknown source"" on windows/macos when using the installers provided by the bcker group.",other
bio.tools.updated.latest,[installation](https://v6.docs.sirius-ms.io/install),"therefore, we highly recommend using the [**signed** installers](https://github.com/bright-giant/sirius/releases) provided by
[bright giant](https://bright-giant.com) (also linked above). these installers ease the installation process by triggering no (or less) security issues of the respective os. see the [documentation](https://v6.docs.sirius-ms.io/install) for details.",other
arxiv.API,,"to learn how to install, use, or get help with q2-boots, refer to the [q2-boots documentation](https://q2-boots.readthedocs.io/en/latest/).",other
arxiv.API,### inbd,"### inbd
go to ./inbd
 center mask images are located using during the inference.",other
arxiv.API,### urudendro,"### inbd
go to ./inbd
 center mask images are located using during the inference.",other
pwc.greatest,nvidia jetson platforms,"python wheels for nvidia's jetson nano, jetson tx1/tx2, jetson xavier nx/agx, and jetson agx orin are provided [here](https://forums.developer.nvidia.com/t/pytorch-for-jetson-version-1-10-now-available/72048) and the l4t container is published [here](https://catalog.ngc.nvidia.com/orgs/nvidia/containers/l4t-pytorch)

they require jetpack 4.2 and above, and [@dusty-nv](https://github.com/dusty-nv) and [@ptrblck](https://github.com/ptrblck) are maintaining them.",other
pwc.greatest,prerequisites,"if you are installing from source, you will need:
- python 3.8 or later (for linux, python 3.8.1+ is needed)
- a compiler that fully supports c++17, such as clang or gcc (gcc 9.4.0 or newer is required, on linux)
- visual studio or visual studio build tool on windows

\* pytorch ci uses visual c++ buildtools, which come with visual studio enterprise,
professional, or community editions. you can also install the build tools from
https://visualstudio.microsoft.com/visual-cpp-build-tools/.",other
pwc.greatest,prerequisites,"the build tools *do not*
come with visual studio code by default. \* we highly recommend installing an [anaconda](https://www.anaconda.com/download) environment. you will get a high-quality blas library (mkl) and you get controlled dependency versions regardless of your linux distro.",other
pwc.greatest,prerequisites,"an example of environment setup is shown below:

* linux:

```bash
$ source <conda_install_dir>/bin/activate
$ conda create -y -n <conda_name>
$ conda activate <conda_name>
```

* windows:

```bash
$ source <conda_install_dir>\scripts\activate.bat
$ conda create -y -n <conda_name>
$ conda activate <conda_name>
$ call ""c:\program files\microsoft visual studio\<version>\community\vc\auxiliary\build\vcvarsall.bat"" x64",other
pwc.greatest,nvidia cuda support,"if you want to compile with rocm support, install
- [amd rocm](https://rocm.docs.amd.com/en/latest/deploy/linux/quick_start.html) 4.0 and above installation
- rocm is currently supported only for linux systems. by default the build system expects rocm to be installed in `/opt/rocm`. if rocm is installed in a different directory, the `rocm_path` environment variable must be set to the rocm installation directory. the build system automatically detects the amd gpu architecture.",other
pwc.greatest,nvidia cuda support,"optionally, the amd gpu architecture can be explicitly set with the `pytorch_rocm_arch` environment variable [amd gpu architecture](https://rocm.docs.amd.com/projects/install-on-linux/en/latest/reference/system-requirements.html#supported-gpus) if you want to disable rocm support, export the environment variable `use_rocm=0`. other potentially useful environment variables may be found in `setup.py`.",other
pwc.greatest,intel gpu support,"if you want to compile with intel gpu support, follow these
- [pytorch prerequisites for intel gpus](https://www.intel.com/content/www/us/en/developer/articles/tool/pytorch-prerequisites-for-intel-gpus.html) instructions.
- intel gpu is supported for linux and windows.

if you want to disable intel gpu support, export the environment variable `use_xpu=0`.
other potentially useful environment variables may be found in `setup.py`.",other
pwc.greatest,get the pytorch source,"```bash
git clone --recursive https://github.com/pytorch/pytorch
cd pytorch
# if you are updating an existing checkout
git submodule sync
git submodule update --init --recursive
```",other
pwc.greatest,install dependencies,"**common**

```bash
conda install cmake ninja
# run this command on native windows
conda install rust
# run this command from the pytorch directory after cloning the source code using the òget the pytorch sourceò section below
pip install -r requirements.txt
```

**on linux**

```bash
pip install mkl-static mkl-include
# cuda only:",other
pwc.greatest,install dependencies,"add lapack support for the gpu if needed
conda install -c pytorch magma-cuda121  # or the magma-cuda* that matches your cuda version from https://anaconda.org/pytorch/repo

# (optional) if using torch.compile with inductor/triton, install the matching version of triton
# run from the pytorch directory after cloning
# for intel gpu support, please explicitly `export use_xpu=1` before running command.",other
pwc.greatest,install dependencies,"make triton
```

**on macos**

```bash
# add this package on intel x86 processor machines only
pip install mkl-static mkl-include
# add these packages if torch.distributed is needed
conda install pkg-config libuv
```

**on windows**

```bash
pip install mkl-static mkl-include
# add these packages if torch.distributed is needed. # distributed package support on windows is a prototype feature and is subject to changes. conda install -c conda-forge libuv=1.39",other
pwc.greatest,install pytorch,"**on linux**

if you would like to compile pytorch with [new c++ abi](https://gcc.gnu.org/onlinedocs/libstdc++/manual/using_dual_abi.html) enabled, then first run this command:
```bash
export _glibcxx_use_cxx11_abi=1
```

please **note** that starting from pytorch 2.5, the pytorch build with xpu supports both new and old c++ abis. previously, xpu only supported the new c++ abi. if you want to compile with intel gpu support, please follow [intel gpu support](#intel-gpu-support).",other
pwc.greatest,install pytorch,"if you're compiling for amd rocm then first run this command:
```bash
# only run this if you're compiling for rocm
python tools/amd_build/build_amd.py
```

install pytorch
```bash
export cmake_prefix_path=${conda_prefix:-""$(dirname $(which conda))/../""}
python setup.py develop
```

> _aside:_",other
pwc.greatest,install pytorch,"if you are using [anaconda](https://www.anaconda.com/distribution/#download-section), you may experience an error caused by the linker:
>
> ```plaintext
> build/temp.linux-x86_64-3.7/torch/csrc/stub.o: file not recognized: file format not recognized
> collect2: error: ld returned 1 exit status
> error: command 'g++' failed with exit status 1
> ```
>
> this is caused by `ld` from the conda environment shadowing the system `ld`. you should use a newer version of python that fixes this issue.",other
pwc.greatest,install pytorch,"the recommended python version is 3.8.1+. **on macos**

```bash
python3 setup.py develop
```

**on windows**

if you want to build legacy python code, please refer to [building on legacy code and cuda](https://github.com/pytorch/pytorch/blob/main/contributing.md#building-on-legacy-code-and-cuda)

**cpu-only builds**

in this mode pytorch computations will run on your cpu, not your gpu

```cmd
python setup.py develop
```

note on openmp: the desired openmp implementation is intel openmp (iomp).",other
pwc.greatest,install pytorch,"in order to link against iomp, you'll need to manually download the library and set up the building environment by tweaking `cmake_include_path` and `lib`. the instruction [here](https://github.com/pytorch/pytorch/blob/main/docs/source/notes/windows.rst#building-from-source) is an example for setting up both mkl and intel openmp. without these configurations for cmake, microsoft visual c openmp runtime (vcomp) will be used.",other
pwc.greatest,install pytorch,"**cuda based build**

in this mode pytorch computations will leverage your gpu via cuda for faster number crunching

[nvtx](https://docs.nvidia.com/gameworks/content/gameworkslibrary/nvtx/nvidia_tools_extension_library_nvtx.htm) is needed to build pytorch with cuda. nvtx is a part of cuda distributive, where it is called ""nsight compute"". to install it onto an already installed cuda run cuda installation once again and check the corresponding checkbox.",other
pwc.greatest,install pytorch,"make sure that cuda with nsight compute is installed after visual studio. currently, vs 2017 / 2019, and ninja are supported as the generator of cmake. if `ninja.exe` is detected in `path`, then ninja will be used as the default generator, otherwise, it will use vs 2017 / 2019. <br/> if ninja is selected as the generator, the latest msvc will get selected as the underlying toolchain.",other
pwc.greatest,install pytorch,"additional libraries such as
[magma](https://developer.nvidia.com/magma), [onednn, a.k.a. mkldnn or dnnl](https://github.com/oneapi-src/onednn), and [sccache](https://github.com/mozilla/sccache) are often needed. please refer to the [installation-helper](https://github.com/pytorch/pytorch/tree/main/.ci/pytorch/win-test-helpers/installation-helpers) to install them.",other
pwc.greatest,install pytorch,"you can refer to the [build_pytorch.bat](https://github.com/pytorch/pytorch/blob/main/.ci/pytorch/win-test-helpers/build_pytorch.bat) script for some other environment variables configurations


```cmd
cmd

:: set the environment variables after you have downloaded and unzipped the mkl package,
:: else cmake would throw an error as `could not find openmp`.
set cmake_include_path={your directory}\mkl\include
s",other
pwc.greatest,install pytorch,"uld throw an error as `could not find openmp`.
set cmake_include_path={your directory}\mkl\include
set lib={your directory}\mkl\lib;%lib%

:: read the content in the previous section carefully before you proceed.
:: [optional] if you want to override the underlying toolset used by ninja and visual studio with cuda, please run the following script block.
:: ""visual studio 2019 developer command prompt"" will be",other
pwc.greatest,install pytorch,"uda, please run the following script block.
:: ""visual studio 2019 developer command prompt"" will be run automatically.
:: make sure you have cmake >= 3.12 before you do this when you use the visual studio generator. set cmake_generator_toolset_version=14.27
set distutils_use_sdk=1
for /f ""usebackq tokens=*"" %i in (`""%programfiles(x86)%\microsoft visual studio\installer\vswhere.exe"" -version",other
pwc.greatest,install pytorch,"[15^,17^) -products * -latest -property installationpath`) do call ""%i\vc\auxiliary\build\vcvarsall.bat"" x64 -vcvars_ver=%cmake_generator_toolset_version%

:: [optional] if you want to override the cuda host compiler
set cudahostcxx=c:\program files (x86)\microsoft visual studio\2019\community\vc\tools\msvc\14.27.29110\bin\hostx64\x64\cl.exe

python setup.py develop

```",other
pwc.greatest,adjust build options (optional),"you can adjust the configuration of cmake variables optionally (without building first), by doing
the following. for example, adjusting the pre-detected directories for cudnn or blas can be done
with such a step. on linux
```bash
export cmake_prefix_path=${conda_prefix:-""$(dirname $(which conda))/../""}
python setup.py build --cmake-only
ccmake build  # or cmake-gui build
```

on macos
```bash
export cmake_prefix_path=${conda_prefix:-""$(dirname $(which conda))/../",other
pwc.greatest,adjust build options (optional),"""}
macosx_deployment_target=10.9 cc=clang cxx=clang++ python setup.py build --cmake-only
ccmake build  # or cmake-gui build
```",other
pwc.greatest,using pre-built images,"you can also pull a pre-built docker image from docker hub and run with docker v19.03+

```bash
docker run --gpus all --rm -ti",other
pwc.greatest,using pre-built images,"--ipc=host pytorch/pytorch:latest
```

please note that pytorch uses shared memory to share data between processes, so if torch multiprocessing is used (e.g.
for multithreaded data loaders) the default shared memory segment size that container runs with is not enough, and you
should increase shared memory size either with `--ipc=host` or `--shm-size` command line options to `nvidia-docker run`.",other
pwc.greatest,building the image yourself,"**note:** must be built with a docker version > 18.06 the `dockerfile` is supplied to build images with cuda 11.1 support and cudnn v8. you can pass `python_version=x.y` make variable to specify which python version is to be used by miniconda, or leave it
unset to use the default. ```bash
make -f docker.",other
pwc.greatest,building the image yourself,"makefile
# images are tagged as docker.io/${your_docker_username}/pytorch
```

you can also pass the `cmake_vars=""...""` environment variable to specify additional cmake variables to be passed to cmake during the build. see [setup.py](./setup.py) for the list of available variables. ```bash
make -f docker. makefile
```",other
acm.msr,pre-requisites,"basic knowledge about java development, springboot and annotation development.<br>
for example, if you use ide like vscode or idea, basic java development environment need to be installed such as `java extension pack`, `maven for java`. it should be noted that we use lombok annotation and springboot in code that may depend on extensions `lombok annotations support` and `spring boot tools` for ide to debug or run.",other
acm.msr,pre-requisites,"besides, libmagicjnawrapper depends on libmagic to get file type, please install this library and modify the paths in libmagicjnawrapper.java. it can be easily installed using apt/brew command on linux/macos.",other
acm.msr,build artifact,"env:
- java: java 11.
- intellij idea. (we have found that the extractor artifact works well only under intellij idea to build the artifact. tested successful under windows intellij idea 2021.2) 

steps:
1. ghidra: 9.1.2. the file `ghidra.jar` is stored under `/user/lib/ghidra.jar` you should put it under `/featureextractor/bcat_client/lib` first. 2. open idea, open project ""binary_lib_detection-main\featureextractor"". wait until indexing finish, if error occurs, try reopen/clean the project. 3.",other
acm.msr,build artifact,"file -> project structure -> project sdk, select java sdk 11.
4. file -> project structure -> artifacts -> ""+"" -> jar -> from modules with dependencies -> module (""bcat_client"") -> main class (""clientapplication"") -> jar files from libraries (select `copy to the output directory and link via manifest`) 
    5. the jars will be generated at path: featureextractor\out\artifacts\bcat_client_jar, with `bcat_client.jar` inside.",other
acm.msr,ui (online),"
this ui is designed to interact with girt-model, it is also accessible in huggingface: https://huggingface.co/spaces/nafisehnik/girt-space
1. irt input examples
2. metadata fields of irt inputs
3. summary field of irt inputs
4. model config
5. generated instruction based on the irt inputs
6. generated irt",other
acm.icse,install,"<img src=""https://raw.githubusercontent.com/alrra/browser-logos/90fdf03c/src/chrome/chrome.svg"" width=""48"" alt=""chrome"" valign=""middle""> [click here to install chrome extension](https://chrome.google.com/webstore/detail/hypercrx/ijchfbpdgeljmhnhokmekkecpbdkgabc)

<img src=""https://raw.githubusercontent.com/alrra/browser-logos/90fdf03c/src/edge/edge.svg"" width=""48"" alt=""edge"" valign=""middle"">",other
acm.icse,install,[click here to install edge extension](https://microsoftedge.microsoft.com/addons/detail/hypercrx/lbbajaehiibofpconjgdjonmkidpcome) for more information please refer to [installation guide](./installation.md).,other
acm.ase,prime: command line metrics tool about,you can install the entirety of the prime project from pypi with `pip install --upgrade pip clime-metrics`.,other
acm.ase,imstalling quacky,see requirements and install.,other
acm.ase,installation guides,"the achilles website was built by two folders below, please read `readme.md` in each folder to see how to get started. 
- achilles-frontend (front-end): [readme.md](https://github.com/muict-seru/achilles/blob/master/achilles-frontend/readme.md)
- baak-dataload-sql (back-end): [readme.md](https://github.com/muict-seru/achilles/blob/master/baak-dataload-sql/readme.md)",other
